Airtables :
    Airtable :
      Name: airtable_1   ; 
      TableOfLiftCoefficients :
         NumberOfTerms :          2 ,        135 ;
         ;
      TableOfDragCoefficients : 
         NumberOfTerms :          2 ,        135;
                      0               10000000000  
         -180    0.3246609506    0.3246609506 
         -170    0.3290764854333333    0.3290764854333333 
         -160    0.3460216468333333    0.3460216468333333 
         -150    0.3662194398333333    0.3662194398333333 
         -140    0.3865921054999999    0.3865921054999999 
         -130    0.4049799664    0.4049799664 
         -120    0.4199403230333333    0.4199403230333333 
         -110    0.4305813247999999    0.4305813247999999 
         -100    0.4363696100666665    0.4363696100666665 
          -90    0.437086588    0.437086588 
          -80    0.4327497458666666    0.4327497458666666 
          -70    0.4236039053999999    0.4236039053999999 
          -60    0.4101212228    0.4101212228 
          -50    0.3930973686999999    0.3930973686999999 
          -49    0.3912430189426666    0.3912430189426666 
          -48    0.389366810102    0.389366810102 
          -47    0.3874698788503333    0.3874698788503333 
          -46    0.3855536241689999    0.3855536241689999 
          -45    0.3836192701666666    0.3836192701666666 
          -44    0.381668303261    0.381668303261 
          -43    0.3797026470513333    0.3797026470513333 
          -42    0.3777244000096666    0.3777244000096666 
          -41    0.3757358354806666    0.3757358354806666 
          -40    0.3737389645    0.3737389645 
          -39    0.3717358855396666    0.3717358855396666 
          -38    0.3697286970716667    0.3697286970716667 
          -37    0.3677191478226666    0.3677191478226666 
          -36    0.365709423701    0.365709423701 
          -35    0.3637012734333333    0.3637012734333333 
          -34    0.3616969703643333    0.3616969703643333 
          -33    0.359699399893    0.359699399893 
          -32    0.3577115348546667    0.3577115348546667 
          -31    0.355736435521    0.355736435521 
          -30    0.3537772496    0.3537772496 
          -29    0.3518368624906666    0.3518368624906666 
          -28    0.3499175475376666    0.3499175475376666 
          -27    0.3480214906493333    0.3480214906493333 
          -26    0.346150877734    0.346150877734 
          -25    0.3443078947    0.3443078947 
          -24    0.3424979626    0.3424979626 
          -23    0.3407317486666667    0.3407317486666667 
          -22    0.3390005092666666    0.3390005092666666 
          -21    0.3373129880333333    0.3373129880333333 
          -20    0.3356691849666666    0.3356691849666666 
          -19    0.3341477927666666    0.3341477927666666 
          -18    0.3328012732333333    0.3328012732333333 
          -17    0.3316208827333333    0.3316208827333333 
          -16    0.3305978776333333    0.3305978776333333 
          -15    0.3297410015666666    0.3297410015666666 
          -14    0.3290240236333333    0.3290240236333333 
          -13    0.3284556874666666    0.3284556874666666 
          -12    0.3280185058    0.3280185058 
          -11    0.3277124786333333    0.3277124786333333 
          -10    0.3275376059666666    0.3275376059666666 
           -9    0.3276432552882333    0.3276432552882333 
           -8    0.3275288623333333    0.3275288623333333 
           -7    0.3266993363517333    0.3266993363517333 
           -6    0.3254216467    0.3254216467 
           -5    0.3241800507666667    0.3241800507666667 
           -4    0.3229909166333333    0.3229909166333333 
         -3.5    0.3224488113666667    0.3224488113666667 
           -3    0.3220116297    0.3220116297 
         -2.5    0.3216269098333334    0.3216269098333334 
           -2    0.3211285227333333    0.3211285227333333 
         -1.5    0.3208312392    0.3208312392 
           -1    0.3206825974333333    0.3206825974333333 
         -0.5    0.3205951611    0.3205951611 
            0    0.3203853139    0.3203853139 
          0.5    0.3203940575333333    0.3203940575333333 
            1    0.3204290320666667    0.3204290320666667 
          1.5    0.3204640066    0.3204640066 
            2    0.3204814938666667    0.3204814938666667 
          2.5    0.3204814938666667    0.3204814938666667 
            3    0.3204727502333333    0.3204727502333333 
          3.5    0.3204465193333333    0.3204465193333333 
            4    0.3204377757    0.3204377757 
            5    0.3204902375000001    0.3204902375000001 
            6    0.3205776738333333    0.3205776738333333 
            7    0.3207787774    0.3207787774 
            8    0.3211285227333333    0.3211285227333333 
            9    0.3218017825    0.3218017825 
           10    0.3228335312333333    0.3228335312333333 
           11    0.3244685906666667    0.3244685906666667 
           12    0.3265320881333333    0.3265320881333333 
           13    0.3292688453666667    0.3292688453666667 
           14    0.3321901806996667    0.3321901806996667 
           15    0.3355292868333333    0.3355292868333333 
           16    0.3390704583333333    0.3390704583333333 
           17    0.3428651952    0.3428651952 
           18    0.3466861629666667    0.3466861629666667 
