MATERIALS: 
	 1     BALSA                          
	 2     BIAXIAL                        
	 3     FICT_WEBS                      
	 4     PAINT                          
	 5     REINFORCEMENT                  
	 6     TRIAXIAL                       
	 7     UNIDIRECTIONAL                 
ELEMENT_1: 
	 Elements ID: 
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
ELEMENT_7: 
	 Elements ID: 
	 	 123	 	 431	 	 739
	 	 124	 	 432	 	 740
	 	 125	 	 433	 	 741
	 	 126	 	 434	 	 742
	 	 127	 	 435	 	 743
	 	 128	 	 436	 	 744
	 	 129	 	 437	 	 745
	 	 130	 	 438	 	 746
	 	 131	 	 439	 	 747
	 	 132	 	 440	 	 748
	 Materials ID: 
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
	 	 4	 	 6	 	 6
ELEMENT_8: 
	 Elements ID: 
	 	 133	 	 441	 	 749
	 	 134	 	 442	 	 750
	 	 135	 	 443	 	 751
	 	 136	 	 444	 	 752
	 	 137	 	 445	 	 753
	 	 138	 	 446	 	 754
	 	 139	 	 447	 	 755
	 	 140	 	 448	 	 756
	 	 141	 	 449	 	 757
	 	 142	 	 450	 	 758
	 	 143	 	 451	 	 759
	 	 144	 	 452	 	 760
	 	 145	 	 453	 	 761
	 	 146	 	 454	 	 762
	 	 147	 	 455	 	 763
	 	 148	 	 456	 	 764
	 	 149	 	 457	 	 765
	 	 150	 	 458	 	 766
	 	 151	 	 459	 	 767
	 	 152	 	 460	 	 768
	 	 153	 	 461	 	 769
	 	 154	 	 462	 	 770
